time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/fps,time/iterations,train/explained_variance,train/policy_gradient_loss,train/approx_kl,train/n_updates,train/loss,train/clip_fraction,train/value_loss,train/learning_rate,train/clip_range,train/entropy_loss
8775,157.31,152.59,2408448,274,147,0.9843908436596394,-0.0037259500339132503,0.03833267,1460,0.6121705770492554,0.201812744140625,3.875061453343369,0.0003,0.2,-0.7619040474528447
8831,160.09098318,154.61,2424832,274,148,0.9839545655995607,-0.005477837730541069,0.036223218,1470,1.005580186843872,0.1929443359375,4.233143333985936,0.0003,0.2,-0.7561333760153502
8883,155.7725,150.63,2441216,274,149,0.9839425943791866,-0.004570836869606865,0.03841498,1480,0.4533783495426178,0.203704833984375,3.9950643635354934,0.0003,0.2,-0.7153227040544152
8942,161.7625,155.8,2457600,274,150,0.9818974938243628,-0.002432719927128346,0.043502845,1490,0.7111197113990784,0.219012451171875,4.507538817008026,0.0003,0.2,-0.780511019541882
9000,160.095,142.01,2473984,274,151,0.9836425203830004,-0.004219691305843298,0.038516283,1500,0.552711546421051,0.19539794921875,4.760498043312691,0.0003,0.2,-0.7447841985151171
9099,160.445,151.35,2490368,273,152,0.9835488218814135,-0.002843120037505287,0.04417865,1510,0.6329989433288574,0.2156494140625,4.32763006251771,0.0003,0.2,-0.7240090283798054
9214,161.8075,156.85,2506752,272,153,0.984519574791193,-0.0027558428899283173,0.033889923,1520,0.5500447750091553,0.196356201171875,4.348551842081361,0.0003,0.2,-0.7658814560389147
9310,160.87313708,157.53,2523136,271,154,0.9842198491096497,-0.00335289783160988,0.03783363,1530,0.41007566452026367,0.1975830078125,4.185022872174159,0.0003,0.2,-0.771239415043965
9406,154.92,155.64,2539520,269,155,0.9847611170262098,-0.0016321064224030124,0.03968285,1540,0.6308493614196777,0.18673095703125,4.081832044385374,0.0003,0.2,-0.7313032968901098
9469,164.54627416,165.12,2555904,269,156,0.9852764746174216,-0.003430904564083903,0.03751018,1550,0.8004021048545837,0.194195556640625,3.9235652511939407,0.0003,0.2,-0.7413874991238117
9525,160.16813708,147.0,2572288,270,157,0.986484463326633,-0.004209042757065617,0.038310215,1560,0.33094486594200134,0.175506591796875,3.5800355872372167,0.0003,0.2,-0.7200815677875653
