time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/iterations,time/total_timesteps,train/explained_variance,train/clip_range,train/approx_kl,train/policy_gradient_loss,train/loss,train/learning_rate,train/entropy_loss,train/clip_fraction,train/value_loss,train/n_updates
17969,2539.4,-75.3339,299,329,5390336,0.868511289358139,0.2,0.08725259,-0.026860221534116137,0.4680997431278229,0.0003,-0.40457016409491187,0.326690673828125,0.5144619828559371,3280
18021,2539.4,-75.3339,300,330,5406720,0.567295640707016,0.2,0.039452035,-0.0058362273268357965,0.3066871464252472,0.0003,-0.3835449398262426,0.10950927734375,2.4537774741882457,3290
18077,2552.48,-75.4647,299,331,5423104,0.7337520718574524,0.2,0.054983824,-0.015204006669409863,0.2945641875267029,0.0003,-0.3809641124738846,0.135711669921875,0.5257082060197718,3300
18139,2114.28,-71.08269999999999,299,332,5439488,0.43000489473342896,0.2,0.04580872,-0.005384763330948772,0.1998341977596283,0.0003,-0.3303848360141274,0.1181640625,1.5825637435453246,3310
18190,1680.92,-66.7992,299,333,5455872,0.333657443523407,0.2,0.025895892,-0.007738853256523725,0.9995635747909546,0.0003,-0.394290114112664,0.111065673828125,4.068673822606797,3320
18247,1572.76,-65.71759999999999,299,334,5472256,0.28248339891433716,0.2,0.026624,-0.005694888993457425,3.985461473464966,0.0003,-0.38839321203995497,0.130322265625,4.796197494823718,3330
18302,1569.91,-65.6891,299,335,5488640,0.512065201997757,0.2,0.025847986,-0.007108035958117398,1.4083951711654663,0.0003,-0.39534038881538436,0.10958251953125,2.6086889797763435,3340
18352,1474.14,-64.73140000000001,299,336,5505024,0.7120404541492462,0.2,0.05046969,-0.0115555666068758,0.05080157890915871,0.0003,-0.23595689194044098,0.105413818359375,0.7179334551259672,3350
18406,1469.88,-64.68879999999999,299,337,5521408,0.6075636148452759,0.2,0.032688282,-0.009694348446646472,5.072388648986816,0.0003,-0.3555944484658539,0.102716064453125,2.949437889253022,3360
18461,1305.21,-63.04209999999999,299,338,5537792,0.7176284492015839,0.2,0.028730977,-0.007247544260644645,0.5035070180892944,0.0003,-0.33802625462412833,0.094427490234375,1.1107340077811387,3370
18517,1271.49,-62.70490000000001,299,339,5554176,0.8344320207834244,0.2,0.08398549,-0.015735736095484752,0.06849507987499237,0.0003,-0.38947879370534794,0.2066650390625,0.41855724231427305,3380
18567,1223.07,-62.220699999999994,300,340,5570560,0.4187600612640381,0.2,0.02827268,-0.00534338114248385,1.37782883644104,0.0003,-0.43680529706180093,0.10543212890625,2.231712793308543,3390
18615,1479.57,-64.78569999999999,300,341,5586944,0.67917400598526,0.2,0.051428623,-0.003714583797045634,0.11516814678907394,0.0003,-0.4366475245566107,0.12874755859375,0.9999111409430043,3400
18660,1610.1,-66.09100000000001,300,342,5603328,0.6556620895862579,0.2,0.027908176,-0.006307361331346328,0.1856168806552887,0.0003,-0.4173304210999049,0.102630615234375,1.7810042715369492,3410
18708,1724.25,-67.23250000000002,300,343,5619712,0.5115982294082642,0.2,0.034737833,-0.006811930056028359,7.757297039031982,0.0003,-0.570388896483928,0.169012451171875,3.7549480578454677,3420
